"#","Paenungulata",,,
30176,20176,,,
30177,20177,,,
30178,20178,,,
30179,20179,,,
"#","Musteloidea",,,
30180,20180,"musFur1","Domestic ferret","Mustela putorius furo"
30181,20181,,,
30182,20182,,,
30183,20183,,,
30184,20184,,,
"#","Pinipedia",,,
30185,20185,"odoRosDiv1","Pacific walrus","Odobenus rosmarus divergens"
30186,20186,,,
30187,20187,,,
30188,20188,,,
30189,20189,,,
30190,20190,,,
30191,20191,,,
30192,20192,,,
30193,20193,,,
30194,20194,,,
30195,20195,,,
30196,20196,,,
30197,20197,,,
30198,20198,,,
30199,20199,,,
"#","Cetacea",,,
30200,20200,"balAcu1m","Minke whale","Balaenoptera acutorostrata"
30201,20201,"balMys1","Bowhead whale","Balaena mysticetus"
30202,20202,"orcOrc1","Killer whale","Orcinus orca"
30203,20203,"turTru2","Common bottlenose dolphin","Tursiops truncatus"
30204,20204,"lipVex1","Yangtze river dolphin","Lipotes vexillifer"
30205,20205,"neoAsi1","Yangtze finless porpoise","Neophocaena phocaenoides"
30206,20206,"delLuc1","Beluga whale","Delphinapterus leucas"
30207,20207,"phyCat1","Sperm whale","Physeter macrocephalus"
30208,20208,"turAdu1","Indo-pacific bottlenose dolphin","Tursiops aduncus"
30209,20209,"balBon1","Antarctic minke whale","Balaenoptera bonaerensis"
30210,20210,"phoPho1","Harbor porpoise","Phocoena phocoena"
30211,20211,"escRob1","Grey whale","Eschrichtius robustus"
30212,20212,,,
30213,20213,,,
30214,20214,,,
30215,20215,,,
30216,20216,,,
30217,20217,,,
30218,20218,,,
30219,20219,,,
"#","Suidae",,,
30220,20220,"susScr11","Pig","Sus scrofa"
30221,20221,,,
"#","Camelidae",,,
30222,20222,"vicPac2","Alpaca","Vicugna pacos"
30223,20223,,,
30224,20224,,,
"#","Bovidae",,,
30225,20225,"bosTau8","Cow","Bos taurus"
30226,20226,"bisBis1","Bison","Bison bison"
30227,20227,"oviAri3","Sheep","Ovis aries"
30228,20228,"bosTau7","Cow","Bos taurus"
30229,20229,,,
30230,20230,,,
30231,20231,,,
"#","Perissodactyla",,,
30232,20232,"cerSim1","White rhinoceros","Ceratotherium simum"
30233,20233,"equCab2","Horse","Equus ferus caballus"
30234,20234,,,
30235,20235,,,
30236,20236,,,
30237,20237,,,
30238,20238,,,
30239,20239,,,
30240,20240,,,
30241,20241,,,
30242,20242,,,
30243,20243,,,
30244,20244,,,
30245,20245,,,
30246,20246,,,
30247,20247,,,
30248,20248,,,
30249,20249,,,
"#","Primate",,,
30250,20250,"hg19","Human","Homo sapiens"
30251,20251,"hg38","Human","Homo sapiens"
30252,20252,"hg38_maskRep_noVarChr_fragWithGenes","Human Annotated","Homo sapiens"
30253,20253,,,
30254,20254,,,
30255,20255,,,
30256,20256,"panTro3","Chimpanzee","Pan troglodytes"
30257,20257,"panTro4","Chimpanzee","Pan troglodytes"
30258,20258,"panPan1","Bonobo","Pan paniscus"
30259,20259,"panPan2","Bonobo","Pan paniscus"
30260,20260,"gorGor3","Gorilla","Gorilla gorilla"
30261,20261,"gorGor4","Gorilla","Gorilla gorilla"
30262,20262,"gorGor5","Gorilla","Gorilla gorilla"
30263,20263,"ponAbe2","Orangutan","Pongo abelii"
30264,20264,"nomLeu1","Gibbon","Nomascus leucogenys"
30265,20265,"nomLeu2","Gibbon","Nomascus leucogenys"
30266,20266,"nomLeu3","Gibbon","Nomascus leucogenys"
30267,20267,"chlSab2","Green monkey","Chlorocebus sabaeus"
30268,20268,"macFas5","Crab-eating macaque","Macaca fascicularis"
